model,ME,MAE,RMSE,MAPE
Naive,0.013229125755648587,0.0998578543135029,0.14627289147473807,20.928367776023535
SeasonalNaive,0.06416116233671396,0.14356611868613547,0.2027393282750672,24.54754133799391
AutoETS,0.06827962551923783,0.10966680061948925,0.15190604298826602,18.851218145867797
AutoARIMA,0.03700721486437529,0.09065214382085547,0.1267354865565532,17.19857524737079
LightGBM,0.026698762313847327,0.09337601490508951,0.12336193696547328,20.236249539750634
