unique_id,ds,Naive,SeasonalNaive
hotel_0,2023-06-03,0.691358024691358,0.9753086419753086
hotel_0,2023-06-04,0.691358024691358,0.8888888888888888
hotel_0,2023-06-05,0.691358024691358,0.2716049382716049
hotel_0,2023-06-06,0.691358024691358,0.2962962962962963
hotel_0,2023-06-07,0.691358024691358,0.3950617283950617
hotel_0,2023-06-08,0.691358024691358,0.43209876543209874
hotel_0,2023-06-09,0.691358024691358,0.691358024691358
hotel_0,2023-06-10,0.691358024691358,0.9753086419753086
hotel_0,2023-06-11,0.691358024691358,0.8888888888888888
hotel_0,2023-06-12,0.691358024691358,0.2716049382716049
hotel_0,2023-06-13,0.691358024691358,0.2962962962962963
hotel_0,2023-06-14,0.691358024691358,0.3950617283950617
hotel_0,2023-06-15,0.691358024691358,0.43209876543209874
hotel_0,2023-06-16,0.691358024691358,0.691358024691358
hotel_0,2023-06-17,0.691358024691358,0.9753086419753086
hotel_0,2023-06-18,0.691358024691358,0.8888888888888888
hotel_0,2023-06-19,0.691358024691358,0.2716049382716049
hotel_0,2023-06-20,0.691358024691358,0.2962962962962963
hotel_0,2023-06-21,0.691358024691358,0.3950617283950617
hotel_0,2023-06-22,0.691358024691358,0.43209876543209874
hotel_0,2023-06-23,0.691358024691358,0.691358024691358
hotel_0,2023-06-24,0.691358024691358,0.9753086419753086
hotel_0,2023-06-25,0.691358024691358,0.8888888888888888
hotel_0,2023-06-26,0.691358024691358,0.2716049382716049
hotel_0,2023-06-27,0.691358024691358,0.2962962962962963
hotel_0,2023-06-28,0.691358024691358,0.3950617283950617
hotel_0,2023-06-29,0.691358024691358,0.43209876543209874
hotel_0,2023-06-30,0.691358024691358,0.691358024691358
hotel_105,2023-06-03,0.949685534591195,1.0
hotel_105,2023-06-04,0.949685534591195,0.9056603773584906
hotel_105,2023-06-05,0.949685534591195,0.9182389937106918
hotel_105,2023-06-06,0.949685534591195,0.9748427672955975
hotel_105,2023-06-07,0.949685534591195,1.0125786163522013
hotel_105,2023-06-08,0.949685534591195,0.8930817610062893
hotel_105,2023-06-09,0.949685534591195,0.949685534591195
hotel_105,2023-06-10,0.949685534591195,1.0
hotel_105,2023-06-11,0.949685534591195,0.9056603773584906
hotel_105,2023-06-12,0.949685534591195,0.9182389937106918
hotel_105,2023-06-13,0.949685534591195,0.9748427672955975
hotel_105,2023-06-14,0.949685534591195,1.0125786163522013
hotel_105,2023-06-15,0.949685534591195,0.8930817610062893
hotel_105,2023-06-16,0.949685534591195,0.949685534591195
hotel_105,2023-06-17,0.949685534591195,1.0
hotel_105,2023-06-18,0.949685534591195,0.9056603773584906
hotel_105,2023-06-19,0.949685534591195,0.9182389937106918
hotel_105,2023-06-20,0.949685534591195,0.9748427672955975
hotel_105,2023-06-21,0.949685534591195,1.0125786163522013
hotel_105,2023-06-22,0.949685534591195,0.8930817610062893
hotel_105,2023-06-23,0.949685534591195,0.949685534591195
hotel_105,2023-06-24,0.949685534591195,1.0
hotel_105,2023-06-25,0.949685534591195,0.9056603773584906
hotel_105,2023-06-26,0.949685534591195,0.9182389937106918
hotel_105,2023-06-27,0.949685534591195,0.9748427672955975
hotel_105,2023-06-28,0.949685534591195,1.0125786163522013
hotel_105,2023-06-29,0.949685534591195,0.8930817610062893
hotel_105,2023-06-30,0.949685534591195,0.949685534591195
hotel_112,2023-06-03,0.75625,1.0125
hotel_112,2023-06-04,0.75625,0.93125
hotel_112,2023-06-05,0.75625,0.9375
hotel_112,2023-06-06,0.75625,0.7875
hotel_112,2023-06-07,0.75625,0.98125
hotel_112,2023-06-08,0.75625,0.75
hotel_112,2023-06-09,0.75625,0.75625
hotel_112,2023-06-10,0.75625,1.0125
hotel_112,2023-06-11,0.75625,0.93125
hotel_112,2023-06-12,0.75625,0.9375
hotel_112,2023-06-13,0.75625,0.7875
hotel_112,2023-06-14,0.75625,0.98125
hotel_112,2023-06-15,0.75625,0.75
hotel_112,2023-06-16,0.75625,0.75625
hotel_112,2023-06-17,0.75625,1.0125
hotel_112,2023-06-18,0.75625,0.93125
hotel_112,2023-06-19,0.75625,0.9375
hotel_112,2023-06-20,0.75625,0.7875
