unique_id,ds,LightGBM
hotel_0,2023-06-03,0.8224151316611482
hotel_0,2023-06-04,0.6019196955712045
hotel_0,2023-06-05,0.6146980783572703
hotel_0,2023-06-06,0.6051917678996791
hotel_0,2023-06-07,0.6010044897930559
hotel_0,2023-06-08,0.5852187159568434
hotel_0,2023-06-09,0.6831696480348082
hotel_0,2023-06-10,0.8198944083433126
hotel_0,2023-06-11,0.6027714823571992
hotel_0,2023-06-12,0.6866771866657985
hotel_0,2023-06-13,0.6548419554249086
hotel_0,2023-06-14,0.6757636998183887
hotel_0,2023-06-15,0.6614092911042193
hotel_0,2023-06-16,0.7148399486760189
hotel_0,2023-06-17,0.7932817871937046
hotel_0,2023-06-18,0.5916707901053945
hotel_0,2023-06-19,0.6053332319034533
hotel_0,2023-06-20,0.6720692284803712
hotel_0,2023-06-21,0.6958099806677448
hotel_0,2023-06-22,0.6921906496354384
hotel_0,2023-06-23,0.7563435267174837
hotel_0,2023-06-24,0.8158676501153871
hotel_0,2023-06-25,0.6124973429393967
hotel_0,2023-06-26,0.6411028121328533
hotel_0,2023-06-27,0.6837954554018656
hotel_0,2023-06-28,0.6894769685596854
hotel_0,2023-06-29,0.6941020992264514
hotel_0,2023-06-30,0.739054374721897
hotel_105,2023-06-03,0.9620680991127197
hotel_105,2023-06-04,0.8915137034475945
hotel_105,2023-06-05,0.9123265303100688
hotel_105,2023-06-06,0.9411349525908694
hotel_105,2023-06-07,0.9682353559987957
hotel_105,2023-06-08,0.9316267301910014
hotel_105,2023-06-09,0.9431456667637668
hotel_105,2023-06-10,0.9531259267334616
hotel_105,2023-06-11,0.861930355014923
hotel_105,2023-06-12,0.9026799770370745
hotel_105,2023-06-13,0.9114170266076606
hotel_105,2023-06-14,0.9471428677363803
hotel_105,2023-06-15,0.9264949198259442
hotel_105,2023-06-16,0.9279067753234409
hotel_105,2023-06-17,0.9444598457840756
hotel_105,2023-06-18,0.8722657967677148
hotel_105,2023-06-19,0.9026799770370745
hotel_105,2023-06-20,0.9144461116996397
hotel_105,2023-06-21,0.9307492378098234
hotel_105,2023-06-22,0.9227970418923656
hotel_105,2023-06-23,0.9330073746097598
hotel_105,2023-06-24,0.9477742797050507
hotel_105,2023-06-25,0.8686817185876152
hotel_105,2023-06-26,0.9004648867267883
hotel_105,2023-06-27,0.9136808808898739
hotel_105,2023-06-28,0.9028865781514069
hotel_105,2023-06-29,0.8930950801597431
hotel_105,2023-06-30,0.9147771656511177
hotel_112,2023-06-03,0.8475294421092057
hotel_112,2023-06-04,0.7922898465416403
hotel_112,2023-06-05,0.8608320209836411
hotel_112,2023-06-06,0.8976459053939749
hotel_112,2023-06-07,0.9242333357768178
hotel_112,2023-06-08,0.8909317110552072
hotel_112,2023-06-09,0.8880430757707558
hotel_112,2023-06-10,0.9014301918888207
hotel_112,2023-06-11,0.812102728733408
hotel_112,2023-06-12,0.8642844670698616
hotel_112,2023-06-13,0.864744373548866
hotel_112,2023-06-14,0.9122473405815359
hotel_112,2023-06-15,0.8543625638304007
hotel_112,2023-06-16,0.8724687214024109
hotel_112,2023-06-17,0.8947824568542423
hotel_112,2023-06-18,0.7271120157949688
hotel_112,2023-06-19,0.8056145000309397
hotel_112,2023-06-20,0.8614297514414552
hotel_112,2023-06-21,0.8891909178086354
hotel_112,2023-06-22,0.8833507845057041
hotel_112,2023-06-23,0.9082746387843347
hotel_112,2023-06-24,0.8829455732738792
hotel_112,2023-06-25,0.6989113884541137
hotel_112,2023-06-26,0.7669274232009574
hotel_112,2023-06-27,0.8092427786315487
hotel_112,2023-06-28,0.8384199900834335
hotel_112,2023-06-29,0.8431605729863924
hotel_112,2023-06-30,0.8771237455076532
hotel_126,2023-06-03,0.9866853986983153
hotel_126,2023-06-04,0.9413276904474946
hotel_126,2023-06-05,0.9536870707510436
hotel_126,2023-06-06,0.9560824906118714
hotel_126,2023-06-07,0.9640436639194606
hotel_126,2023-06-08,0.9204635729536137
hotel_126,2023-06-09,0.9661037098217148
hotel_126,2023-06-10,0.9692955278293022
hotel_126,2023-06-11,0.9198837788610202
hotel_126,2023-06-12,0.9355433953613025
hotel_126,2023-06-13,0.9463504688156509
hotel_126,2023-06-14,0.9497065908655947
hotel_126,2023-06-15,0.9327729429403654
hotel_126,2023-06-16,0.9597902970933829
hotel_126,2023-06-17,0.9667217919444209
hotel_126,2023-06-18,0.9206999763509494
hotel_126,2023-06-19,0.9337554906287886
hotel_126,2023-06-20,0.9416413675553544
hotel_126,2023-06-21,0.9500328555878976
hotel_126,2023-06-22,0.9333001516167525
hotel_126,2023-06-23,0.95010258094803
hotel_126,2023-06-24,0.9454670353389382
hotel_126,2023-06-25,0.8966568451017912
hotel_126,2023-06-26,0.9175949614005565
hotel_126,2023-06-27,0.9273810958573956
hotel_126,2023-06-28,0.9317676148991937
hotel_126,2023-06-29,0.9112103099956494
hotel_126,2023-06-30,0.9333428094224429
hotel_133,2023-06-03,0.9680965870792597
hotel_133,2023-06-04,0.8945360220547347
hotel_133,2023-06-05,0.9006552318299096
hotel_133,2023-06-06,0.9038170338719892
hotel_133,2023-06-07,0.9410458457323662
hotel_133,2023-06-08,0.9539580861210941
hotel_133,2023-06-09,0.9636660701628836
hotel_133,2023-06-10,0.9677149400502547
hotel_133,2023-06-11,0.8834977525944705
hotel_133,2023-06-12,0.8844202770784597
hotel_133,2023-06-13,0.8963388969342033
hotel_133,2023-06-14,0.915195941202029
hotel_133,2023-06-15,0.9285501807980593
hotel_133,2023-06-16,0.9443789839667541
hotel_133,2023-06-17,0.9548632530682034
hotel_133,2023-06-18,0.8770175707119537
hotel_133,2023-06-19,0.8966783118909917
hotel_133,2023-06-20,0.9068206269223426
hotel_133,2023-06-21,0.9219163594350215
hotel_133,2023-06-22,0.9271476829857707
hotel_133,2023-06-23,0.9399073031673397
hotel_133,2023-06-24,0.9579369878914545
hotel_133,2023-06-25,0.885902400217166
hotel_133,2023-06-26,0.9006562793796765
hotel_133,2023-06-27,0.9044804608734122
hotel_133,2023-06-28,0.9108984575795204
hotel_133,2023-06-29,0.913996848268853
hotel_133,2023-06-30,0.9220010140042929
hotel_14,2023-06-03,0.6609137597523678
hotel_14,2023-06-04,0.501023325961947
hotel_14,2023-06-05,0.532519797215772
hotel_14,2023-06-06,0.6082224013474465
hotel_14,2023-06-07,0.6133838508226948
hotel_14,2023-06-08,0.5996335485166718
hotel_14,2023-06-09,0.6376629728329047
hotel_14,2023-06-10,0.6912778192458253
hotel_14,2023-06-11,0.48787295710411854
hotel_14,2023-06-12,0.5309996880554284
hotel_14,2023-06-13,0.6336078122552057
hotel_14,2023-06-14,0.6668668220999119
hotel_14,2023-06-15,0.6711301983947873
hotel_14,2023-06-16,0.6840681760548808
hotel_14,2023-06-17,0.7028521628384836
hotel_14,2023-06-18,0.5027748215454252
hotel_14,2023-06-19,0.5349282956103097
hotel_14,2023-06-20,0.631521776780878
hotel_14,2023-06-21,0.6698686346734365
hotel_14,2023-06-22,0.673795054660389
hotel_14,2023-06-23,0.6968367397142441
hotel_14,2023-06-24,0.7199661600560832
hotel_14,2023-06-25,0.5529822568839663
hotel_14,2023-06-26,0.5269645804734038
hotel_14,2023-06-27,0.5858849632776579
hotel_14,2023-06-28,0.6424443924542781
hotel_14,2023-06-29,0.6642363539713804
hotel_14,2023-06-30,0.7094767111283476
hotel_21,2023-06-03,0.9864918651830676
hotel_21,2023-06-04,0.9460551732066248
hotel_21,2023-06-05,0.88437556575534
hotel_21,2023-06-06,0.8873903299218096
hotel_21,2023-06-07,0.8968033910359656
hotel_21,2023-06-08,0.8983786137581119
hotel_21,2023-06-09,0.9580562244309367
hotel_21,2023-06-10,0.9682186127796195
hotel_21,2023-06-11,0.9108547730773958
hotel_21,2023-06-12,0.9013846037212367
hotel_21,2023-06-13,0.876020303288255
hotel_21,2023-06-14,0.8518872792562753
hotel_21,2023-06-15,0.8759525462883654
hotel_21,2023-06-16,0.915854010285419
hotel_21,2023-06-17,0.9370054787205218
hotel_21,2023-06-18,0.896839874708619
hotel_21,2023-06-19,0.9118824154753987
hotel_21,2023-06-20,0.9054465963245445
hotel_21,2023-06-21,0.8968091786249655
hotel_21,2023-06-22,0.8869507616163084
hotel_21,2023-06-23,0.9214452152275636
hotel_21,2023-06-24,0.9247359867683824
hotel_21,2023-06-25,0.8523744788648587
hotel_21,2023-06-26,0.8788362623612086
hotel_21,2023-06-27,0.8915888011339105
hotel_21,2023-06-28,0.8951834984646961
hotel_21,2023-06-29,0.8880155214639621
hotel_21,2023-06-30,0.9196692502531509
hotel_28,2023-06-03,0.009190441163941482
hotel_28,2023-06-04,0.008263033000342137
hotel_28,2023-06-05,0.00829109313576005
hotel_28,2023-06-06,0.0091102586612411
hotel_28,2023-06-07,0.0091102586612411
hotel_28,2023-06-08,0.0091102586612411
hotel_28,2023-06-09,0.011623504413157227
hotel_28,2023-06-10,0.009190441163941482
hotel_28,2023-06-11,0.008263033000342137
hotel_28,2023-06-12,0.00829109313576005
hotel_28,2023-06-13,0.0091102586612411
hotel_28,2023-06-14,0.0091102586612411
hotel_28,2023-06-15,0.0091102586612411
hotel_28,2023-06-16,0.011623504413157227
hotel_28,2023-06-17,0.009190441163941482
hotel_28,2023-06-18,0.008263033000342137
hotel_28,2023-06-19,0.00829109313576005
hotel_28,2023-06-20,0.0091102586612411
hotel_28,2023-06-21,0.0091102586612411
hotel_28,2023-06-22,0.0091102586612411
hotel_28,2023-06-23,0.011623504413157227
hotel_28,2023-06-24,0.009190441163941482
hotel_28,2023-06-25,0.008263033000342137
hotel_28,2023-06-26,0.00829109313576005
hotel_28,2023-06-27,0.0091102586612411
hotel_28,2023-06-28,0.0091102586612411
hotel_28,2023-06-29,0.0091102586612411
hotel_28,2023-06-30,0.011623504413157227
hotel_35,2023-06-03,0.5780254490574745
hotel_35,2023-06-04,0.5207320573666312
hotel_35,2023-06-05,0.5944490944217853
hotel_35,2023-06-06,0.6832205641833501
hotel_35,2023-06-07,0.6989290448057186
hotel_35,2023-06-08,0.6766081778860283
hotel_35,2023-06-09,0.670163512284453
hotel_35,2023-06-10,0.6627750230593912
hotel_35,2023-06-11,0.5118835449670753
hotel_35,2023-06-12,0.616841610343216
hotel_35,2023-06-13,0.6953139581566167
hotel_35,2023-06-14,0.6942786414375839
hotel_35,2023-06-15,0.6873949526563253
hotel_35,2023-06-16,0.6845112457831126
hotel_35,2023-06-17,0.6670540657221005
hotel_35,2023-06-18,0.5005056443006061
hotel_35,2023-06-19,0.6089296275717326
hotel_35,2023-06-20,0.6844217122991249
hotel_35,2023-06-21,0.7063817599843584
hotel_35,2023-06-22,0.7002872490573342
hotel_35,2023-06-23,0.7058141059121612
hotel_35,2023-06-24,0.700200279931101
hotel_35,2023-06-25,0.5004045969349791
hotel_35,2023-06-26,0.6045617090186365
hotel_35,2023-06-27,0.6810043580948194
hotel_35,2023-06-28,0.6958144095851119
hotel_35,2023-06-29,0.6960519012018289
hotel_35,2023-06-30,0.7210099388032214
hotel_42,2023-06-03,0.7556068926955684
hotel_42,2023-06-04,0.652143646916244
