unique_id,ds,AutoETS,AutoARIMA
hotel_0,2023-06-03,0.6651701798416771,0.7688887033530285
hotel_0,2023-06-04,0.44619812577350415,0.6528064874298182
hotel_0,2023-06-05,0.4630176387175448,0.46871383987447274
hotel_0,2023-06-06,0.4974787656284047,0.5235681551297304
hotel_0,2023-06-07,0.49463782357505137,0.5867090204520703
hotel_0,2023-06-08,0.5302349726523373,0.5946266564359065
hotel_0,2023-06-09,0.6383032223681587,0.7015150822233158
hotel_0,2023-06-10,0.6651701798416771,0.7517429893606264
hotel_0,2023-06-11,0.44619812577350415,0.6969647198000811
hotel_0,2023-06-12,0.4630176387175448,0.5135811808860375
hotel_0,2023-06-13,0.4974787656284047,0.5363973453767802
hotel_0,2023-06-14,0.49463782357505137,0.576728524954384
hotel_0,2023-06-15,0.5302349726523373,0.5867528565400807
hotel_0,2023-06-16,0.6383032223681587,0.6734318642200213
hotel_0,2023-06-17,0.6651701798416771,0.7052810634838342
hotel_0,2023-06-18,0.44619812577350415,0.6642413574670256
hotel_0,2023-06-19,0.4630176387175448,0.5678529140201954
hotel_0,2023-06-20,0.4974787656284047,0.5862563907388308
hotel_0,2023-06-21,0.49463782357505137,0.6120008861101389
hotel_0,2023-06-22,0.5302349726523373,0.6168406370674555
hotel_0,2023-06-23,0.6383032223681587,0.6663886721539208
hotel_0,2023-06-24,0.6651701798416771,0.6867914627963332
hotel_0,2023-06-25,0.44619812577350415,0.6624961883847065
hotel_0,2023-06-26,0.4630176387175448,0.5944578609017889
hotel_0,2023-06-27,0.4974787656284047,0.6050021829685697
hotel_0,2023-06-28,0.49463782357505137,0.6214400199010698
hotel_0,2023-06-29,0.5302349726523373,0.6250200810766658
hotel_0,2023-06-30,0.6383032223681587,0.658472971888251
hotel_105,2023-06-03,1.0167414209470118,0.9664051522215633
hotel_105,2023-06-04,0.799594433828028,0.8834538070662173
hotel_105,2023-06-05,0.9239283380250877,0.9218135910520796
hotel_105,2023-06-06,0.9641710582387015,0.939185583228664
hotel_105,2023-06-07,0.9588699457111701,0.9653105251136082
hotel_105,2023-06-08,0.8574510781853502,0.906102146759469
hotel_105,2023-06-09,0.9748835792868034,0.9453847176615141
hotel_105,2023-06-10,1.0167414209470118,0.9488474520653645
hotel_105,2023-06-11,0.799594433828028,0.8901813081122005
hotel_105,2023-06-12,0.9239283380250877,0.9071840030546588
hotel_105,2023-06-13,0.9641710582387015,0.9311973249588017
hotel_105,2023-06-14,0.9588699457111701,0.9521516016804481
hotel_105,2023-06-15,0.8574510781853502,0.8935932669603419
hotel_105,2023-06-16,0.9748835792868034,0.9251095444834783
hotel_105,2023-06-17,1.0167414209470118,0.9316355585305071
hotel_105,2023-06-18,0.799594433828028,0.885018690536866
hotel_105,2023-06-19,0.9239283380250877,0.9031111401501729
hotel_105,2023-06-20,0.9641710582387015,0.9168541729385526
hotel_105,2023-06-21,0.9588699457111701,0.9323685112897008
hotel_105,2023-06-22,0.8574510781853502,0.8934223462250181
hotel_105,2023-06-23,0.9748835792868034,0.9167590079766107
hotel_105,2023-06-24,1.0167414209470118,0.9200897558827065
hotel_105,2023-06-25,0.799594433828028,0.8853848716307213
hotel_105,2023-06-26,0.9239283380250877,0.897000904106181
hotel_105,2023-06-27,0.9641710582387015,0.9093877682869752
hotel_105,2023-06-28,0.9588699457111701,0.9213956038921041
hotel_105,2023-06-29,0.8574510781853502,0.8893374398080117
hotel_105,2023-06-30,0.9748835792868034,0.9073992562805442
hotel_112,2023-06-03,0.8246688943418579,0.8184366991977514
hotel_112,2023-06-04,0.7903376527173144,0.8465974914533254
hotel_112,2023-06-05,0.8434935376375269,0.8433010652006284
hotel_112,2023-06-06,0.8447242050752105,0.8464552128014065
hotel_112,2023-06-07,0.8678157012113104,0.8676329054614254
hotel_112,2023-06-08,0.8556846176835139,0.857055836702161
hotel_112,2023-06-09,0.8218651744936931,0.8668330936328585
hotel_112,2023-06-10,0.8246688943418579,0.8789042139890588
hotel_112,2023-06-11,0.7903376527173144,0.867357392787178
hotel_112,2023-06-12,0.8434935376375269,0.8703776090697752
hotel_112,2023-06-13,0.8447242050752105,0.8419546751226007
hotel_112,2023-06-14,0.8678157012113104,0.8839694801080131
hotel_112,2023-06-15,0.8556846176835139,0.8374428099936679
hotel_112,2023-06-16,0.8218651744936931,0.8402423194438874
hotel_112,2023-06-17,0.8246688943418579,0.8543438681672876
hotel_112,2023-06-18,0.7903376527173144,0.8595620241761269
hotel_112,2023-06-19,0.8434935376375269,0.8595001777238689
hotel_112,2023-06-20,0.8447242050752105,0.858143335584529
hotel_112,2023-06-21,0.8678157012113104,0.8659997887457698
hotel_112,2023-06-22,0.8556846176835139,0.8603139354655822
hotel_112,2023-06-23,0.8218651744936931,0.8626452877207605
hotel_112,2023-06-24,0.8246688943418579,0.8663147450724333
hotel_112,2023-06-25,0.7903376527173144,0.8644858486565505
hotel_112,2023-06-26,0.8434935376375269,0.8651546356841618
hotel_112,2023-06-27,0.8447242050752105,0.8593630809508634
hotel_112,2023-06-28,0.8678157012113104,0.8685065680504448
hotel_112,2023-06-29,0.8556846176835139,0.8586970083580799
hotel_112,2023-06-30,0.8218651744936931,0.8594724677043557
hotel_126,2023-06-03,0.997042006636073,1.0149028955436625
hotel_126,2023-06-04,0.9309823494265196,1.0007805782199937
hotel_126,2023-06-05,0.9204551391003566,0.9974317075837666
hotel_126,2023-06-06,0.9251424968147317,0.9906267961111205
hotel_126,2023-06-07,0.9306592414986323,0.9871551041173474
hotel_126,2023-06-08,0.9211975136756855,0.9519928298135882
hotel_126,2023-06-09,0.9943267550499054,0.9851454983998265
hotel_126,2023-06-10,0.997042006636073,0.9936614283874733
hotel_126,2023-06-11,0.9309823494265196,0.9768991073748913
hotel_126,2023-06-12,0.9204551391003566,0.9784922002354947
hotel_126,2023-06-13,0.9251424968147317,0.9801730086427649
hotel_126,2023-06-14,0.9306592414986323,0.9872893769114806
hotel_126,2023-06-15,0.9211975136756855,0.9368260498749588
hotel_126,2023-06-16,0.9943267550499054,0.9885937743174416
hotel_126,2023-06-17,0.997042006636073,0.9945654799090594
hotel_126,2023-06-18,0.9309823494265196,0.9809781069413004
hotel_126,2023-06-19,0.9204551391003566,0.9831738524936489
hotel_126,2023-06-20,0.9251424968147317,0.9830459321890341
hotel_126,2023-06-21,0.9306592414986323,0.9852771174518384
hotel_126,2023-06-22,0.9211975136756855,0.9537958754135045
hotel_126,2023-06-23,0.9943267550499054,0.98554918463757
hotel_126,2023-06-24,0.997042006636073,0.9913056218630101
hotel_126,2023-06-25,0.9309823494265196,0.9790756302419775
hotel_126,2023-06-26,0.9204551391003566,0.9804073177198375
hotel_126,2023-06-27,0.9251424968147317,0.981110150553489
hotel_126,2023-06-28,0.9306592414986323,0.9851352823718861
hotel_126,2023-06-29,0.9211975136756855,0.9516431826659615
hotel_126,2023-06-30,0.9943267550499054,0.9858412399330684
hotel_133,2023-06-03,1.037077370061083,0.95417695349893
hotel_133,2023-06-04,0.8576544559535373,0.8362939237363158
hotel_133,2023-06-05,0.889043604439115,0.8411596126812655
hotel_133,2023-06-06,0.9057531881610257,0.8762922351605176
hotel_133,2023-06-07,0.9245417494255395,0.9357113476547017
hotel_133,2023-06-08,0.9386354692108162,0.949132735303234
hotel_133,2023-06-09,1.0068598429153672,0.9705728227570347
hotel_133,2023-06-10,1.037077370061083,0.9559550636292219
hotel_133,2023-06-11,0.8576544559535373,0.8509669066641555
hotel_133,2023-06-12,0.889043604439115,0.8493827569702367
hotel_133,2023-06-13,0.9057531881610257,0.8800059980596102
hotel_133,2023-06-14,0.9245417494255395,0.9415597546735743
hotel_133,2023-06-15,0.9386354692108162,0.9529388140734573
hotel_133,2023-06-16,1.0068598429153672,0.9691688133553801
hotel_133,2023-06-17,1.037077370061083,0.9544692142519128
hotel_133,2023-06-18,0.8576544559535373,0.857172880576192
hotel_133,2023-06-19,0.889043604439115,0.8563563964798423
hotel_133,2023-06-20,0.9057531881610257,0.884835421977483
